Module1	Module2	Module3	Module4	Module5	Module6
492						Rexo2
493						Ache
494						Degs1
495						Slc22a17
496						Vegfb
497						Syn1
498						Hint2
499						Serp2
500						Rab11fip4
501						Tshz2
502						1500011B03Rik
503						Pgp
504						Inpp4b
505						Ndufs7
506						Rogdi
507						Ak1
508						Lrp1b
509						Gpr22
510						Prkcb
511						5330434G04Rik
512						Napa
513						Fam213b
514						Inadl
515						Kif21a
516						Fgf12
517						Fth1
518						Tprgl
519						Abhd8
520						Zmat4
521						Phlda3
522						Ndufa6
523						E530001K10Rik
524						Ctsd
525						Rheb
526						Lmna
527						March2
528						Cystm1
529						Hipk3
530						Cltb
531						Tcf25
532						Ubl3
533						Pcsk2
534						Ociad2
535						Pcsk1n
536						Sec11c
537						Syt6
538						Grina
539						Fndc5
540						Rnf208
541						Sdha
542						l7Rn6
543						Folr1
544						Kif1a
545						Sema5a
546						Lin7a
547						Pde3a
548						Pmm1
549						Stxbp1
550						Asna1
551						Micu3
552						Neto2
553						Atp6v1e1
554						Cox14
555						Cisd1
556						Tmem30a
557						Ppp3ca
558						BC030500
559						Pink1
560						Sec62
561						Ank3
562						Gpi1
563						Rnf157
564						Bok
565						Cstb
566						Chst1
567						Cntnap5a
568						Snx3
569						Junb
570						Cadm3
571						Cep170b
572						Cltc
573						Dhcr24
574						A830018L16Rik
575						Lypd6b
576						Uqcc2
577						B230219D22Rik
578						Acot7
579						Camk2n2
580						Ddx24
581						March11
582						Tmx2
583						Ndufa13
584						Gpx4
585						Arl2
586						Klhdc8a
587						Ldha
588						Pam
589						Suclg1
590						Dkk3
591						Uqcr10
592						Ube2v2
593						Sumo3
594						Atp6v0b
595						Prkar1b
596						Pnkd
597						Cox6b2
598						Marf1
599						Rgs10
600						Lrfn5
601						Rab4a
602						Ogdh
603						Vapb
604						Hpcal1
605						Kcnq2
606						Fstl1
607						Itm2b
608						Wscd1
609						Lgi2
610						Emc4
611						Myl6b
612						Oaz1
613						Pcdh9
614						Gabarapl2
615						Atp6v1d
616						Smyd2
617						Insig1
618						Mrps33
619						Use1
620						Sod2
621						Prkar1a
622						Hunk
623						Cd81
624						Ckb
625						Vdac1
626						Nenf
627						Camk2n1
628						Lpgat1
629						Stub1
630						Cd164
631						Bdnf
632						Edil3
633						Tubb4b
634						Irx6
635						Ndufb3
636						Mrfap1
637						Ppm1l
638						Ndufa12
639						Fkbp1b
640						Tecr
641						Atp5j
642						Man1a2
643						Rbpms2
644						Egr1
